offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Oregon,Big Ten,James Madison,Sun Belt,401779843,4017798432,1,True,1,32,68,"{'seconds': 55, 'minutes': 14}",1,91,9,"{'seconds': 17, 'minutes': 13}","{'seconds': 38, 'minutes': 1}",4,68,TD,True,0,0,6,0
James Madison,Sun Belt,Oregon,Big Ten,401779843,4017798434,2,True,1,75,75,"{'seconds': 17, 'minutes': 13}",1,12,12,"{'seconds': 14, 'minutes': 5}","{'seconds': 3, 'minutes': 8}",15,63,FG,False,0,6,3,6
Oregon,Big Ten,James Madison,Sun Belt,401779843,4017798436,3,True,1,25,75,"{'seconds': 14, 'minutes': 5}",1,97,3,"{'seconds': 37, 'minutes': 2}","{'seconds': 37, 'minutes': 2}",5,75,TD,True,6,3,13,3
James Madison,Sun Belt,Oregon,Big Ten,401779843,4017798438,4,False,1,75,75,"{'seconds': 37, 'minutes': 2}",2,22,22,"{'seconds': 7, 'minutes': 13}","{'seconds': 30, 'minutes': 4}",10,53,MISSED FG,False,3,13,3,13
Oregon,Big Ten,James Madison,Sun Belt,401779843,4017798439,5,True,2,22,78,"{'seconds': 2, 'minutes': 13}",2,97,3,"{'seconds': 33, 'minutes': 11}","{'seconds': 34, 'minutes': 1}",3,78,TD,True,13,3,20,3
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984311,6,False,2,75,75,"{'seconds': 33, 'minutes': 11}",2,79,79,"{'seconds': 36, 'minutes': 10}","{'seconds': 57, 'minutes': 0}",3,-4,PUNT,False,3,20,3,20
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984312,7,True,2,37,63,"{'seconds': 27, 'minutes': 10}",2,97,3,"{'seconds': 18, 'minutes': 9}","{'seconds': 18, 'minutes': 1}",4,63,TD,True,20,3,27,3
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984314,8,False,2,75,75,"{'seconds': 18, 'minutes': 9}",2,54,54,"{'seconds': 7, 'minutes': 6}","{'seconds': 11, 'minutes': 3}",6,21,PUNT,False,3,27,3,34
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984315,9,True,2,20,80,"{'seconds': 59, 'minutes': 5}",2,97,3,"{'seconds': 22, 'minutes': 4}","{'seconds': 45, 'minutes': 1}",5,80,TD,True,27,3,34,3
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984317,10,False,2,76,76,"{'seconds': 17, 'minutes': 4}",2,43,43,"{'seconds': 34, 'minutes': 1}","{'seconds': 43, 'minutes': 2}",7,33,PUNT,False,3,34,3,34
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984318,11,False,2,15,85,"{'seconds': 28, 'minutes': 1}",2,53,47,"{'seconds': 0, 'minutes': 1}","{'seconds': 34, 'minutes': 0}",3,27,INT,True,34,3,34,3
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984319,12,True,2,53,53,"{'seconds': 56, 'minutes': 0}",2,20,20,"{'seconds': 6, 'minutes': 0}","{'seconds': 54, 'minutes': 0}",9,33,FG,False,3,34,6,34
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984321,13,False,2,25,75,"{'seconds': 6, 'minutes': 0}",2,24,76,"{'seconds': 3, 'minutes': 0}","{'seconds': 6, 'minutes': 0}",1,-1,END OF HALF,True,34,6,34,6
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984323,14,True,3,75,75,"{'seconds': 0, 'minutes': 15}",3,3,3,"{'seconds': 8, 'minutes': 12}","{'seconds': 52, 'minutes': 2}",6,75,TD,False,6,34,13,34
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984325,15,True,3,24,76,"{'seconds': 4, 'minutes': 12}",3,97,3,"{'seconds': 24, 'minutes': 10}","{'seconds': 40, 'minutes': 1}",4,75,TD,True,34,13,41,13
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984327,16,False,3,75,75,"{'seconds': 24, 'minutes': 10}",3,73,73,"{'seconds': 48, 'minutes': 8}","{'seconds': 36, 'minutes': 1}",3,2,PUNT,False,13,41,13,41
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984328,17,False,3,32,68,"{'seconds': 40, 'minutes': 8}",3,33,67,"{'seconds': 0, 'minutes': 8}","{'seconds': 48, 'minutes': 0}",3,1,PUNT,True,41,13,41,13
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984329,18,True,3,73,73,"{'seconds': 50, 'minutes': 7}",3,70,70,"{'seconds': 5, 'minutes': 7}","{'seconds': 55, 'minutes': 0}",3,3,TD,False,13,41,13,48
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984331,19,False,3,80,80,"{'seconds': 0, 'minutes': 7}",3,89,89,"{'seconds': 44, 'minutes': 5}","{'seconds': 16, 'minutes': 1}",3,-9,PUNT,False,13,48,13,48
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984332,20,False,3,55,45,"{'seconds': 32, 'minutes': 5}",3,36,64,"{'seconds': 1, 'minutes': 3}","{'seconds': 43, 'minutes': 2}",6,37,INT,True,48,13,48,13
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984333,21,True,3,36,36,"{'seconds': 1, 'minutes': 3}",3,3,3,"{'seconds': 15, 'minutes': 1}","{'seconds': 46, 'minutes': 1}",4,36,TD,False,13,48,20,48
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984335,22,False,3,37,63,"{'seconds': 11, 'minutes': 1}",4,49,51,"{'seconds': 6, 'minutes': 14}","{'seconds': 5, 'minutes': 2}",4,12,PUNT,True,48,20,48,20
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984336,23,True,4,89,89,"{'seconds': 57, 'minutes': 13}",4,3,3,"{'seconds': 26, 'minutes': 10}","{'seconds': 40, 'minutes': 3}",9,89,TD,False,20,48,26,48
Oregon,Big Ten,James Madison,Sun Belt,401779843,40177984338,24,True,4,53,47,"{'seconds': 26, 'minutes': 10}",4,70,30,"{'seconds': 22, 'minutes': 4}","{'seconds': 4, 'minutes': 6}",10,21,FG,True,48,26,51,26
James Madison,Sun Belt,Oregon,Big Ten,401779843,40177984340,25,True,4,99,99,"{'seconds': 22, 'minutes': 4}",4,3,3,"{'seconds': 5, 'minutes': 1}","{'seconds': 17, 'minutes': 3}",9,99,TD,False,26,51,34,51
