id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
40177984212,4017798422,401779842,1,2,Ole Miss,SEC,0,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 50, 'minutes': 14}",3,3,25,75,1,10,30,False,Pass Reception,"(14:59) No Huddle-Shotgun #6 T.Chambliss pass complete short left to #1 D.Stribling caught at OM29, for 30 yards to the TU45 (#1 J.Tchienchou), 1ST DOWN",2.6012410346542536,2025-12-20T20:41:21.000Z
40177984217,4017798422,401779842,1,3,Ole Miss,SEC,0,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 24, 'minutes': 14}",3,3,55,45,1,10,25,False,Pass Reception,"(14:33) No Huddle-Shotgun #6 T.Chambliss pass complete short middle to #8 D.Wright caught at TU40, for 25 yards to the TU20 (#32 B.Despanie), out of bounds, 1ST DOWN",0.858586356035369,2025-12-20T20:41:47.000Z
40177984222,4017798422,401779842,1,4,Ole Miss,SEC,7,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 1, 'minutes': 14}",3,3,80,20,1,10,20,True,Rushing Touchdown,"(14:06) No Huddle-Shotgun #5 K.Lacy rush middle for 20 yards gain to the TU00 TOUCHDOWN, clock 14:01, 1ST DOWN #17 L.Carneiro kick attempt good (H: #33 O.Bird, LS: #93 C.Short)",2.617927729031699,2025-12-20T20:42:20.000Z
40177984229,4017798424,401779842,2,1,Ole Miss,SEC,7,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 1, 'minutes': 14}",3,3,35,65,1,10,0,False,Kickoff,"(14:01) #17 L.Carneiro kickoff 65 yards to the TU00, Touchback",,2025-12-20T20:43:18.000Z
40177984276,4017798425,401779842,3,1,Ole Miss,SEC,7,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 38, 'minutes': 8}",3,3,40,60,1,10,30,False,Rush,"(08:46) No Huddle-Shotgun #5 K.Lacy rush middle for 30 yards gain to the TU30 (#1 J.Tchienchou), out of bounds, 1ST DOWN",1.9426574712209044,2025-12-20T20:54:32.000Z
40177984280,4017798425,401779842,3,2,Ole Miss,SEC,7,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 11, 'minutes': 8}",3,3,70,30,1,10,26,False,Pass Reception,"(08:24) No Huddle-Shotgun #6 T.Chambliss pass complete short right to #11 D.Alexander caught at TU17, for 26 yards to the TU04 (#7 K.Adams III), 1ST DOWN",1.126052614208796,2025-12-20T20:55:01.000Z
40177984285,4017798425,401779842,3,3,Ole Miss,SEC,7,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 56, 'minutes': 7}",3,3,96,4,1,4,0,False,Rush,(08:01) No Huddle-Shotgun #5 K.Lacy rush middle for 0 yards to the TU04 (#9 J.Norman; #30 J.Moore),-0.6456997217339855,2025-12-20T20:55:22.000Z
40177984289,4017798425,401779842,3,4,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 26, 'minutes': 7}",3,3,96,4,2,4,4,True,Rushing Touchdown,"(07:29) No Huddle-Shotgun #6 T.Chambliss rush middle for 4 yards gain to the TU00 TOUCHDOWN, clock 07:26 #17 L.Carneiro kick attempt good (H: #33 O.Bird, LS: #93 C.Short)",2.3338902404479605,2025-12-20T20:55:56.000Z
40177984296,4017798427,401779842,4,1,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 26, 'minutes': 7}",3,3,35,65,1,10,0,False,Kickoff,"(07:26) #17 L.Carneiro kickoff 65 yards to the TU00, Touchback",,2025-12-20T20:56:44.000Z
401779842136,4017798428,401779842,5,1,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 59, 'minutes': 2}",3,2,37,63,1,10,-4,False,Sack,"(03:07) No Huddle-Shotgun #6 T.Chambliss sacked for loss of 7 yards to the OM30 (#0 M.Westmoreland, #4 C.Rodgers)",-1.6521497004281738,2025-12-20T21:09:33.000Z
401779842140,4017798428,401779842,5,2,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 27, 'minutes': 2}",3,2,30,70,2,17,4,False,Pass Reception,"(02:34) No Huddle-Shotgun #6 T.Chambliss pass complete short right to #11 D.Alexander caught at OM34, for 4 yards to the OM34 (#4 C.Rodgers)",-0.049420057148920726,2025-12-20T21:10:02.000Z
401779842145,4017798428,401779842,5,3,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 52, 'minutes': 1}",3,2,34,66,3,13,9,False,Pass Reception,"(02:04) No Huddle-Shotgun #6 T.Chambliss pass complete short middle to #8 D.Wright caught at OM42, for 9 yards to the OM43 (#4 C.Rodgers; #32 B.Despanie)",0.39199176865911767,2025-12-20T21:10:33.000Z
401779842150,4017798428,401779842,5,4,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 16, 'minutes': 1}",3,2,43,57,4,4,5,False,Penalty,PENALTY OM Delay Of Game  5 yards from OM43 to OM38. NO PLAY,,2025-12-20T21:11:25.000Z
401779842153,4017798428,401779842,5,5,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,0,1,"{'seconds': 5, 'minutes': 1}",3,2,38,62,4,9,0,False,Punt,"(01:10) #33 O.Bird punt 44 yards to the TU18, out of bounds at TU18",,2025-12-20T21:12:03.000Z
401779842199,40177984211,401779842,7,4,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 11, 'minutes': 13}",2,2,29,71,2,6,0,False,Timeout,"Timeout Ole Miss, clock 13:11",,2025-12-20T21:24:58.000Z
401779842189,40177984211,401779842,7,2,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 58, 'minutes': 13}",3,2,25,75,1,10,4,False,Rush,(14:05) No Huddle-Shotgun #5 K.Lacy rush left for 4 yards gain to the OM29 (#96 G.Guidry; #3 J.White),-0.1142886249388964,2025-12-20T21:23:51.000Z
401779842193,40177984211,401779842,7,3,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 36, 'minutes': 13}",3,2,29,71,2,6,2,False,Rush,(13:43) No Huddle-Shotgun #5 K.Lacy rush middle for 2 yards gain to the OM31 (#7 K.Adams III),-0.4204436586168807,2025-12-20T21:24:12.000Z
401779842221,40177984211,401779842,7,5,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 10, 'minutes': 13}",2,2,31,69,3,4,6,False,Pass Reception,"(13:10) No Huddle-Shotgun #6 T.Chambliss pass complete short right to #1 D.Stribling caught at OM29, for 6 yards to the OM37 (#7 K.Adams III), out of bounds, 1ST DOWN",1.5619766096993484,2025-12-20T21:31:44.000Z
401779842203,40177984211,401779842,7,6,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 44, 'minutes': 12}",2,2,37,63,1,10,3,False,Rush,(12:48) No Huddle-Shotgun #5 K.Lacy rush middle for 3 yards gain to the OM40 (#9 J.Norman; #7 K.Adams III),-0.4199785122886155,2025-12-20T21:28:41.000Z
401779842207,40177984211,401779842,7,7,Ole Miss,SEC,14,Tulane,Ole Miss,Tulane,American Athletic,3,2,"{'seconds': 15, 'minutes': 12}",2,2,40,60,2,7,0,False,Pass Incompletion,(12:19) No Huddle-Shotgun #6 T.Chambliss pass incomplete deep left to #1 D.Stribling thrown to TU35,-0.9294870713655641,2025-12-20T21:29:12.000Z
