id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
40177984314,4017798432,401779843,1,2,Oregon,Big Ten,0,James Madison,Oregon,James Madison,Sun Belt,0,1,"{'seconds': 48, 'minutes': 14}",3,3,32,68,1,10,9,False,Rush,"(14:52) Shotgun #6 N.Whittington rush left for 9 yards gain to the ORE41 (#7 J.Thomas), out of bounds",1.3745145306761655,2025-12-21T00:41:37.000Z
40177984318,4017798432,401779843,1,3,Oregon,Big Ten,0,James Madison,Oregon,James Madison,Sun Belt,0,1,"{'seconds': 12, 'minutes': 14}",3,3,41,59,2,1,4,False,Pass Reception,"(14:17) Shotgun #5 D.Moore pass complete short left to #11 J.McClellan caught at ORE39, for 4 yards to the ORE45 (#2 E.Culp), 1ST DOWN",-0.131817052350671,2025-12-21T00:42:15.000Z
40177984323,4017798432,401779843,1,4,Oregon,Big Ten,0,James Madison,Oregon,James Madison,Sun Belt,0,1,"{'seconds': 37, 'minutes': 13}",3,3,45,55,1,10,14,False,Pass Reception,"(13:47) Shotgun #5 D.Moore pass complete short right to #11 J.McClellan caught at JMU43, for 14 yards to the JMU41 (#32 D.Barksdale; #5 T.Hendrick), 1ST DOWN",1.0360936114198456,2025-12-21T00:42:45.000Z
40177984328,4017798432,401779843,1,5,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,0,1,"{'seconds': 17, 'minutes': 13}",3,3,59,41,1,10,41,True,Passing Touchdown,"(13:23) No Huddle-Shotgun #5 D.Moore pass complete deep middle to #9 J.Johnson caught at JMU15, for 41 yards to the JMU00 TOUCHDOWN, clock 13:17, 1ST DOWN #83 R.Saleapaga rush attempt failed",3.2405196258965194,2025-12-21T00:43:10.000Z
40177984343,4017798434,401779843,2,1,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,0,1,"{'seconds': 17, 'minutes': 13}",3,3,35,65,1,10,0,False,Kickoff,"(13:17) #36 A.Sappington kickoff 65 yards to the JMU00, Touchback",,2025-12-21T00:45:21.000Z
401779843112,4017798436,401779843,3,2,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,3,1,"{'seconds': 3, 'minutes': 5}",3,3,25,75,1,10,3,False,Rush,(05:11) Shotgun #6 N.Whittington rush left for 3 yards gain to the ORE28 (#8 A.Thomas; #33 A.Taddeo),-0.2957674139440157,2025-12-21T01:04:07.000Z
401779843116,4017798436,401779843,3,3,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,3,1,"{'seconds': 18, 'minutes': 4}",3,3,28,72,2,7,40,False,Pass Reception,"(04:28) Shotgun #5 D.Moore pass complete short right to #23 D.Hill Jr caught at ORE23, for 40 yards to the JMU32 (#5 T.Hendrick; #30 J.Eaglin), 1ST DOWN",3.5020031080763747,2025-12-21T01:04:50.000Z
401779843121,4017798436,401779843,3,4,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,3,1,"{'seconds': 36, 'minutes': 3}",3,3,68,32,1,10,23,False,Rush,"(03:42) No Huddle-Shotgun #0 D.Austin rush middle for 23 yards gain to the JMU09 (#7 J.Thomas), 1ST DOWN",0.4472816019424944,2025-12-21T01:05:36.000Z
401779843125,4017798436,401779843,3,5,Oregon,Big Ten,6,James Madison,Oregon,James Madison,Sun Belt,3,1,"{'seconds': 17, 'minutes': 3}",3,3,91,9,1,9,4,False,Rush,(03:20) No Huddle-Shotgun #0 D.Austin rush middle for 4 yards gain to the JMU05 (#5 T.Hendrick; #56 D.Spinogatti),-0.014339867883452,2025-12-21T01:05:58.000Z
401779843129,4017798436,401779843,3,6,Oregon,Big Ten,13,James Madison,Oregon,James Madison,Sun Belt,3,1,"{'seconds': 37, 'minutes': 2}",3,3,95,5,2,5,5,True,Rushing Touchdown,"(02:36) Shotgun #5 D.Moore rush right for 5 yards gain to the JMU00 TOUCHDOWN, clock 02:37 #36 A.Sappington kick attempt good (H: #46 J.Ferguson-Reynolds, LS: #43 L.Basso)",2.43857769152992,2025-12-21T01:06:42.000Z
