id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,wallclock,ppa
4017798423,4017798422,401779842,1,1,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,0,1,"{'seconds': 0, 'minutes': 15}",3,3,65,65,1,10,0,False,Kickoff,"(15:00) #91 P.Durkin kickoff 65 yards to the OM00, Touchback",2025-12-20T20:38:16.000Z,
40177984232,4017798424,401779842,2,2,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 52, 'minutes': 13}",3,3,75,75,1,10,9,False,Rush,(14:00) No Huddle-Shotgun #25 J.McClure rush middle for 9 yards gain to the TU34 (#29 N.Cull; #16 W.Williams Jr.),2025-12-20T20:45:05.000Z,1.252308359788624
40177984236,4017798424,401779842,2,3,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 22, 'minutes': 13}",3,3,66,66,2,1,16,False,Rush,"(13:30) No Huddle-Shotgun #12 J.Retzlaff rush left for 16 yards gain to the TU50 (#44 A.Jones), out of bounds, 1ST DOWN",2025-12-20T20:45:38.000Z,0.9840348278113246
40177984240,4017798424,401779842,2,4,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 55, 'minutes': 12}",3,3,50,50,1,10,3,False,Rush,(12:59) No Huddle-Shotgun #25 J.McClure rush middle for 3 yards gain to the OM47 (#51 Z.Harris),2025-12-20T20:46:11.000Z,-0.385960016074776
40177984244,4017798424,401779842,2,5,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 10, 'minutes': 12}",3,3,47,47,2,7,1,False,Rush,(12:14) No Huddle-Shotgun #25 J.McClure rush middle for 1 yard gain to the OM46 (#96 J.Brown; #52 W.Echoles),2025-12-20T20:46:56.000Z,-0.8946791092492478
40177984248,4017798424,401779842,2,6,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 22, 'minutes': 11}",3,3,46,46,3,6,7,False,Pass Reception,"(11:28) No Huddle-Shotgun #12 J.Retzlaff pass complete short left to #1 O.Hayes caught at OM42, for 7 yards to the OM39 (#8 A.Kite; #44 A.Jones), 1ST DOWN",2025-12-20T20:47:42.000Z,1.9816125025138458
40177984253,4017798424,401779842,2,7,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 50, 'minutes': 10}",3,3,39,39,1,10,0,False,Pass Incompletion,(10:50) No Huddle-Shotgun #6 B.Sullivan pass incomplete short middle to #1 O.Hayes thrown to OM40 broken up by #1 P.Umanmielen,2025-12-20T20:48:20.000Z,-0.814236079442537
40177984256,4017798424,401779842,2,8,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 39, 'minutes': 10}",3,3,39,39,2,10,0,False,Rush,(10:49) No Huddle-Shotgun #23 J.Gordon rush left for 0 yards to the OM39 (#52 W.Echoles),2025-12-20T20:48:52.000Z,-1.008878077670078
40177984260,4017798424,401779842,2,9,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 49, 'minutes': 9}",3,3,39,39,3,10,10,False,Pass Reception,"(10:08) No Huddle-Shotgun #12 J.Retzlaff pass complete short right to #5 A.Brown-Stephens caught at OM29, for 10 yards to the OM29, End Of Play, 1ST DOWN",2025-12-20T20:49:33.000Z,2.175251527446054
40177984265,4017798424,401779842,2,10,Tulane,American Athletic,0,Ole Miss,Ole Miss,Tulane,SEC,7,1,"{'seconds': 27, 'minutes': 9}",3,3,29,29,1,10,6,False,Rush,(09:33) No Huddle-Shotgun #23 J.Gordon rush right for 6 yards gain to the OM23 (#6 T.Dottery; #44 A.Jones),2025-12-20T20:50:07.000Z,0.2073705301771515
